eventid	country	region	provstate	city	crit1	crit2	crit3	doubtterr	alternative	multiple	success	suicide	attacktype1	targtype1	targsubtype1	corp1	target1	natlty1	gname	guncertain1	individual	nperps	nperpcap	claimed	claimmode	weaptype1	weapsubtype1	nwoundte	property	propextent	propvalue	ishostkid	nhostkid	nhostkidus	nhours	ndays	divert	ransom	hostkidoutcome	nreleased
201507080044	95	10	Al Anbar	Saqlawiyah	1	1	0	1	1	0	1	0	9	4	34	Iraqi Armed Forces	Soldiers	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	0		13		0	0			0								
201507080045	95	10	Al Anbar	Habbaniyah	1	1	0	1	1	0	1	0	3	4	27	Iraqi Armed Forces	Habbaniyah Air Base	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	1	7	6	11	0	1	3	-99	0								
201507080052	4	6	Farah	Pusht Koh	1	1	1	0		0	1	0	1	3	23	Afghan Border Police (ABP)	Vehicle of Commander: Juma Gul	4	Taliban	0	0	-99	0	0		6	8	0	1	3	-99	0								
201507080058	4	6	Paktia	Zurmat district	1	1	1	0		0	1	1	3	3	24	Afghan Police	Checkpoint	4	Taliban	0	0	-99	0	1	4	6	15	16	1	3	-99	0								
201507080059	4	6	Kunar	Darin	1	1	1	0		0	1	0	2	3	22	Afghan Police	Checkposts	4	Taliban	0	0	10	0	0		5	5	6	0			0								
201507080079	200	10	Aleppo	Aleppo	1	1	1	0		0	1	0	3	14	75	Midan Neighborhood	Neighborhood	200	Free Syrian Army	0	0	-99	0	0		6	11	0	-9			0								
201507080080	174	11	Sedhiou	Unknown	1	1	1	0		0	1	0	6	14	77	Unknown	Forest Workers	174	Movement of Democratic Forces of Casamance	0	0	-99	0	0		5	5	0	0			1	12	0		4		1	2	12
201507090028	95	10	Saladin	Tall Abu Jarad	1	1	1	0		0	1	0	9	10	55	Al-Mawqif TV	Correspondent: Husayn Ala	95	Islamic State of Iraq and the Levant (ISIL)	0	0	15	0	0		13			0			0								
201507090033	95	10	Saladin	Samarra	1	1	1	0		0	1	0	9	3	25	Federal Police	Officers	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	0		13		0	0			0								
201507090040	95	10	Diyala	Madain	1	1	1	0		0	1	0	3	1	2	Unknown	Cafe	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	1	8	6	16	0	-9			0								
201507090041	146	11	Diffa	Dagaya	1	1	1	0		0	1	0	2	14	77	Not Applicable	Laborers	146	Boko Haram	0	0	-99	0	0		9	23	0	0			0								
201507090042	92	6	Bihar	Jamui district	1	1	1	0		0	1	0	6	8	49	Simultala Residential School	Student: Kamlesh Kumar	92	Maoists	0	0	2	0	0		5	5	0	0			1	1	0	4			0	2	1
201507090043	147	11	Yobe	Buni Yadi	1	1	1	0		0	1	0	3	14	75	Buni Yadi Town	Town	147	Boko Haram	0	0	-99	0	0		6	16		1	3	-99	0								
201507090044	147	11	Adamawa	Yola district	1	1	1	0		0	1	0	3	4	27	Nigerian Army (NA)	Barracks	147	Boko Haram	0	0	4	2	0		6	7	0	-9			0								
201507090045	93	5	Banten	Tangerang	1	1	1	0		0	1	0	3	1	7	Alam Sutera Mall	Restroom	93	Muslim extremists	0	0	-99	0	0		6	17	0	1	3	-99	0								
